x_m,depth_m,initial_vp_m_s,true_vp_m_s,inverted_vp_m_s
1000.0,1420.0,2782.7021,2197.1924,2298.1782
1000.0,1440.0,2804.065,2252.306,2304.5767
1000.0,1460.0,2825.8794,2258.4294,2368.7244
1000.0,1480.0,2848.2412,2264.5532,2337.2727
1000.0,1500.0,2871.206,2184.9448,2285.1125
1000.0,1520.0,2894.7798,2191.0686,2333.9846
1000.0,1540.0,2918.8745,2282.9243,2377.5107
1000.0,1560.0,2943.4182,2289.048,2435.0063
1000.0,1580.0,2968.278,2442.1414,2528.9373
1000.0,1600.0,2993.2234,2448.265,2577.8955
1000.0,1620.0,3018.1235,2454.3887,2591.292
1000.0,1640.0,3042.8433,2460.5125,2618.101
1000.0,1660.0,3067.3347,2307.4194,2623.2021
1000.0,1680.0,3091.694,2313.5432,2616.3044
1000.0,1700.0,3115.9602,2008.5817,2562.2185
1000.0,1720.0,3140.0437,2338.0378,2255.933
1000.0,1740.0,3164.0332,3026.3445,2386.687
1000.0,1760.0,3187.836,3072.2725,2949.029
1000.0,1780.0,3211.1611,3081.458,3143.5369
1000.0,1800.0,3233.3787,3090.6436,3137.5503
1000.0,1820.0,3253.4922,3038.592,3108.8503
1000.0,1840.0,3271.628,3047.7776,3131.5974
1000.0,1860.0,3288.258,3056.9631,3182.9229
1000.0,1880.0,3303.5308,3066.149,3207.846
1000.0,1900.0,3317.4324,3210.0564,3194.5588
1000.0,1920.0,3330.16,3219.242,3205.76
1000.0,1940.0,3341.879,3228.4275,3265.6384
1000.0,1960.0,3354.1038,3127.386,3309.0215
1000.0,1980.0,3367.085,3087.5818,3284.3896
1000.0,2000.0,3381.0122,3243.7368,3218.4688
1000.0,2020.0,3395.8481,3252.9224,3224.3577
1000.0,2040.0,3411.5173,3674.2346,3329.6355
1000.0,2060.0,3427.582,3674.2346,3418.7656
1000.0,2080.0,3443.6292,3206.9944,3440.3982
1000.0,2100.0,3459.9854,3216.18,3400.4
1000.0,2120.0,3476.455,3225.3655,3344.4866
1000.0,2140.0,3492.9717,3234.5513,3286.6206
1000.0,2160.0,3509.1702,3929.32,3291.4548
1000.0,2180.0,3524.725,3972.7976,3411.0144
1000.0,2200.0,3539.1262,4202.9907,3574.0244
1000.0,2220.0,3552.266,4246.4688,3721.8296
1000.0,2240.0,3564.4917,4049.8845,3841.2388
1000.0,2260.0,3576.3455,4093.3625,3923.588
1000.0,2280.0,3588.462,4270.2085,3939.6382
1000.0,2300.0,3600.6543,3484.889,3877.6746
1000.0,2320.0,3612.5366,3363.7617,3774.214
1000.0,2340.0,3624.278,3807.732,3697.2878
1000.0,2360.0,3635.724,3492.3599,3690.2842
1000.0,2380.0,3646.7212,3470.927,3713.1602
1000.0,2400.0,3657.4807,3522.9785,3688.7778
1000.0,2420.0,3668.3389,3538.288,3627.1633
1000.0,2440.0,3679.4402,3553.5974,3592.087
1000.0,2460.0,3691.101,3583.8484,3615.5696
1000.0,2480.0,3703.2107,3735.2268,3641.0002
1000.0,2500.0,3715.4404,3750.6587,3647.324
1000.0,2520.0,3727.5535,3766.0903,3668.3386
1000.0,2540.0,3739.472,3654.6387,3712.2524
1000.0,2560.0,3751.4106,3522.9785,3724.6648
1000.0,2580.0,3763.6934,3538.288,3666.14
1000.0,2600.0,3776.1467,3614.8345,3570.0603
1000.0,2620.0,3788.631,3715.8762,3557.6165
1000.0,2640.0,3800.682,3731.1855,3684.2527
1000.0,2660.0,3811.6611,3991.4434,3843.14
1000.0,2680.0,3821.1152,3351.6672,3918.9578
1000.0,2700.0,3829.9478,3369.0745,3850.4822
1000.0,2720.0,3838.4575,3386.4817,3720.6655
1000.0,2740.0,3846.4968,3833.0286,3703.6138
1000.0,2760.0,3853.3044,3061.862,3784.9692
1000.0,2780.0,3859.513,3061.862,3833.2341
1000.0,2800.0,3866.2852,3245.574,3792.9229
1000.0,2820.0,3873.6282,2988.3774,3695.9043
1000.0,2840.0,3881.6194,2988.3774,3650.3423
1000.0,2860.0,3890.4104,3061.862,3631.5642
1000.0,2880.0,3899.7537,4503.332,3589.8096
1000.0,2900.0,3907.8909,4503.332,3548.1995
1000.0,2920.0,3913.8904,4503.332,3581.0095
1000.0,2940.0,3916.476,4503.332,3730.11
1000.0,2960.0,3915.5415,4503.332,3854.2341
1000.0,2980.0,3911.4695,4503.332,3869.9307
1000.0,3000.0,3904.057,4503.332,3829.86
1000.0,3020.0,3893.1885,4503.332,3802.8564
1000.0,3040.0,3881.1592,4503.332,3808.6565
1000.0,3060.0,3868.055,4503.332,3821.7925
1000.0,3080.0,3854.5647,4503.332,3842.3193
1000.0,3100.0,3840.9116,4503.332,3895.1355
1000.0,3120.0,3826.9263,4503.332,3963.0483
1000.0,3140.0,3812.6719,3699.6604,3956.9417
1000.0,3160.0,3798.3296,3566.2925,3828.1711
1000.0,3180.0,3784.6465,3566.2925,3675.2048
1000.0,3200.0,3771.7715,3566.2925,3632.5552
1000.0,3220.0,3759.7344,3219.8826,3690.5586
1000.0,3240.0,3748.6157,3219.8826,3720.062
1000.0,3260.0,3738.5195,3219.8826,3674.78
1000.0,3280.0,3729.4448,3006.84,3621.8862
1000.0,3300.0,3721.4631,3006.84,3639.851
1000.0,3320.0,3714.5962,3006.84,3680.8586
1000.0,3340.0,3708.8167,3006.84,3673.0044
1000.0,3360.0,3703.8933,3006.84,3644.0815
1000.0,3380.0,3699.6968,3006.84,3659.5422
1000.0,3400.0,3696.0945,3032.8208,3707.1287
1000.0,3420.0,3693.3352,3032.8208,3678.677
1000.0,3440.0,3691.587,3032.8208,3573.8557
1000.0,3460.0,3690.8362,3699.6604,3537.7417
1000.0,3480.0,3690.6943,4099.764,3626.2861
3000.0,20.0,1500.0,1500.0,1500.0
3000.0,40.0,1500.0,1500.0,1500.0
3000.0,60.0,1500.0,1500.0,1500.0
3000.0,80.0,1500.0,1500.0,1500.0
3000.0,100.0,1500.0,1500.0,1500.0
3000.0,120.0,1500.0,1500.0,1500.0
3000.0,140.0,1500.0,1500.0,1500.0
3000.0,160.0,1500.0,1500.0,1500.0
3000.0,180.0,1500.0,1500.0,1500.0
3000.0,200.0,1500.0,1500.0,1500.0
3000.0,220.0,1500.0,1500.0,1500.0
3000.0,240.0,1500.0,1500.0,1500.0
3000.0,260.0,1500.0,1500.0,1500.0
3000.0,280.0,1500.0,1500.0,1500.0
3000.0,300.0,1500.0,1500.0,1500.0
3000.0,320.0,1500.0,1500.0,1500.0
3000.0,340.0,1500.0,1500.0,1500.0
3000.0,360.0,1500.0,1500.0,1500.0
3000.0,380.0,1500.0,1500.0,1500.0
3000.0,400.0,1500.0,1500.0,1500.0
3000.0,420.0,1500.0,1500.0,1500.0
3000.0,440.0,1500.0,1500.0,1500.0
3000.0,460.0,1837.1172,1837.1172,1837.1149
3000.0,480.0,1876.3092,1876.3092,1876.2981
3000.0,500.0,1949.7916,1949.7916,1949.7902
3000.0,520.0,2006.9462,2006.9462,2005.9395
3000.0,540.0,2192.7905,1976.7383,1991.0466
3000.0,560.0,2193.6396,1982.8619,1964.4612
3000.0,580.0,2195.2095,1988.9857,2016.6849
3000.0,600.0,2197.6565,2056.3467,2011.2335
3000.0,620.0,2200.9385,2062.4705,2085.9043
3000.0,640.0,2205.12,2068.594,2086.989
3000.0,660.0,2210.4646,1915.5011,1907.0796
3000.0,680.0,2216.889,1921.6248,1919.5698
3000.0,700.0,2224.344,2025.7279,2029.8796
3000.0,720.0,2232.734,2031.8518,2039.4022
3000.0,740.0,2241.909,2135.955,2132.2952
3000.0,760.0,2251.769,2142.0786,2149.9856
3000.0,780.0,2262.3132,2050.223,2048.2595
3000.0,800.0,2273.7104,2056.3467,2054.3672
3000.0,820.0,2285.9827,2062.4705,2077.856
3000.0,840.0,2299.0903,1982.8619,1984.7921
3000.0,860.0,2312.8984,2050.223,2058.9136
3000.0,880.0,2327.2512,2142.0786,2147.4229
3000.0,900.0,2341.9448,2001.233,2024.6477
3000.0,920.0,2356.8523,2007.3568,2000.8445
3000.0,940.0,2371.91,2050.223,2050.9119
3000.0,960.0,2387.1392,2056.3467,2084.2373
3000.0,980.0,2402.508,2233.9348,2198.6223
3000.0,1000.0,2418.028,2178.8213,2211.3408
3000.0,1020.0,2433.6294,2184.9448,2173.127
3000.0,1040.0,2449.1733,2276.8008,2249.773
3000.0,1060.0,2464.6257,2282.9243,2319.9548
3000.0,1080.0,2480.0142,2289.048,2253.9036
3000.0,1100.0,2495.4097,2135.955,2138.8696
3000.0,1120.0,2510.8987,2105.3364,2108.9211
3000.0,1140.0,2526.5159,2111.4602,2105.08
3000.0,1160.0,2542.2932,2166.5737,2145.1108
3000.0,1180.0,2558.3252,2172.6975,2176.1382
3000.0,1200.0,2574.7007,2093.0889,2107.91
3000.0,1220.0,2591.7454,2099.213,2093.1018
3000.0,1240.0,2609.4155,2191.0686,2203.241
3000.0,1260.0,2627.6204,2197.1924,2218.0159
3000.0,1280.0,2646.2776,2203.316,2211.7087
3000.0,1300.0,2665.025,2209.4397,2213.3074
3000.0,1320.0,2683.8188,2215.5635,2224.4502
3000.0,1340.0,2702.7075,2368.6567,2352.0952
3000.0,1360.0,2721.856,2374.7803,2370.4473
3000.0,1380.0,2741.598,2221.6873,2248.1685
3000.0,1400.0,2761.8833,2227.811,2203.7507
3000.0,1420.0,2782.7021,2172.6975,2168.0293
3000.0,1440.0,2804.065,2252.306,2191.0703
3000.0,1460.0,2825.8794,2258.4294,2405.5703
3000.0,1480.0,2848.2412,2906.9321,2716.1846
3000.0,1500.0,2871.206,2952.8599,2970.6572
3000.0,1520.0,2894.7798,2962.0454,2976.6775
3000.0,1540.0,2918.8745,2971.2312,2965.866
3000.0,1560.0,2943.4182,2980.4167,2999.557
3000.0,1580.0,2968.278,2928.365,2988.473
3000.0,1600.0,2993.2234,2937.5505,2928.5742
3000.0,1620.0,3018.1235,2946.736,2916.2993
3000.0,1640.0,3042.8433,2955.9216,2970.9944
3000.0,1660.0,3067.3347,2965.1072,3028.668
3000.0,1680.0,3091.694,3109.015,3076.4443
3000.0,1700.0,3115.9602,3118.2004,3122.6277
3000.0,1720.0,3140.0437,3127.386,3127.6506
3000.0,1740.0,3164.0332,3026.3445,3069.074
3000.0,1760.0,3187.836,3035.5303,3005.8906
3000.0,1780.0,3211.1611,2995.7258,3032.1084
3000.0,1800.0,3233.3787,3151.8809,3123.2756
3000.0,1820.0,3253.4922,3161.0667,3168.1953
3000.0,1840.0,3271.628,3096.7676,3134.0903
3000.0,1860.0,3288.258,3105.953,3094.0872
3000.0,1880.0,3303.5308,3115.1387,3116.9045
3000.0,1900.0,3317.4324,3124.324,3160.0833
3000.0,1920.0,3330.16,3133.5098,3164.0085
3000.0,1940.0,3341.879,3142.6956,3205.1313
3000.0,1960.0,3354.1038,3494.5408,3347.5454
3000.0,1980.0,3367.085,3538.018,3566.9958
3000.0,2000.0,3381.0122,3581.4963,3728.6587
3000.0,2020.0,3395.8481,3811.6895,3778.9014
3000.0,2040.0,3411.5173,3855.1675,3764.6396
3000.0,2060.0,3427.582,3658.583,3767.418
3000.0,2080.0,3443.6292,3702.061,3836.3452
3000.0,2100.0,3459.9854,3878.907,3891.6504
3000.0,2120.0,3476.455,3922.3848,3815.2468
3000.0,2140.0,3492.9717,3361.4348,3545.2764
3000.0,2160.0,3509.1702,3241.2874,3288.462
3000.0,2180.0,3524.725,3256.5964,3378.334
3000.0,2200.0,3539.1262,3700.567,3624.0442
3000.0,2220.0,3552.266,3385.1948,3674.5208
3000.0,2240.0,3564.4917,3363.7617,3499.1787
3000.0,2260.0,3576.3455,3379.071,3322.442
3000.0,2280.0,3588.462,3431.1226,3397.9253
3000.0,2300.0,3600.6543,3446.4321,3593.803
3000.0,2320.0,3612.5366,3806.5073,3680.4512
3000.0,2340.0,3624.278,3491.258,3637.6323
3000.0,2360.0,3635.724,3506.6897,3563.3103
3000.0,2380.0,3646.7212,3546.6165,3544.3638
3000.0,2400.0,3657.4807,3562.0479,3558.7297
3000.0,2420.0,3668.3389,3245.574,3544.6338
3000.0,2440.0,3679.4402,3704.3638,3545.274
3000.0,2460.0,3691.101,3719.7952,3669.3945
3000.0,2480.0,3703.2107,3608.711,3768.417
3000.0,2500.0,3715.4404,3624.0198,3730.9153
3000.0,2520.0,3727.5535,3492.3599,3573.4746
3000.0,2540.0,3739.472,3507.6692,3465.2463
3000.0,2560.0,3751.4106,3584.2158,3597.7944
3000.0,2580.0,3763.6934,3685.2573,3808.093
3000.0,2600.0,3776.1467,3945.5156,3884.9429
3000.0,2620.0,3788.631,3299.446,3696.4932
3000.0,2640.0,3800.682,3316.8533,3412.7842
3000.0,2660.0,3811.6611,3334.26,3340.2166
3000.0,2680.0,3821.1152,3833.0286,3598.875
3000.0,2700.0,3829.9478,3061.862,3612.5906
3000.0,2720.0,3838.4575,3061.862,3309.3496
3000.0,2740.0,3846.4968,3061.862,3039.5945
3000.0,2760.0,3853.3044,3245.574,3128.2588
3000.0,2780.0,3859.513,2988.3774,3303.5386
3000.0,2800.0,3866.2852,2988.3774,3165.3818
3000.0,2820.0,3873.6282,2988.3774,2934.6323
3000.0,2840.0,3881.6194,3061.862,2960.4688
3000.0,2860.0,3890.4104,3061.862,3186.7368
3000.0,2880.0,3899.7537,3919.1836,3455.635
3000.0,2900.0,3907.8909,3919.1836,3755.131
3000.0,2920.0,3913.8904,4503.332,4152.391
3000.0,2940.0,3916.476,4503.332,4529.5713
3000.0,2960.0,3915.5415,4503.332,4797.0273
3000.0,2980.0,3911.4695,4503.332,4905.3833
3000.0,3000.0,3904.057,4503.332,4802.913
3000.0,3020.0,3893.1885,3299.557,4485.4814
3000.0,3040.0,3881.1592,3992.3772,4093.7654
3000.0,3060.0,3868.055,4420.194,3932.5657
3000.0,3080.0,3854.5647,4420.194,4179.4863
3000.0,3100.0,3840.9116,4567.418,4564.55
3000.0,3120.0,3826.9263,4567.418,4810.9946
3000.0,3140.0,3812.6719,4567.418,4799.379
3000.0,3160.0,3798.3296,4567.418,4637.971
3000.0,3180.0,3784.6465,3166.189,4459.1772
3000.0,3200.0,3771.7715,3166.189,4248.1743
3000.0,3220.0,3759.7344,3166.189,3940.9565
3000.0,3240.0,3748.6157,3006.84,3645.6995
3000.0,3260.0,3738.5195,3006.84,3542.9817
3000.0,3280.0,3729.4448,3006.84,3556.064
3000.0,3300.0,3721.4631,3006.84,3519.0486
3000.0,3320.0,3714.5962,3006.84,3380.557
3000.0,3340.0,3708.8167,3006.84,3298.7192
3000.0,3360.0,3703.8933,2766.0852,3267.7532
3000.0,3380.0,3699.6968,3500.4746,3174.4636
3000.0,3400.0,3696.0945,3500.4746,3061.0679
3000.0,3420.0,3693.3352,3500.4746,2753.6848
3000.0,3440.0,3691.587,3500.4746,3027.8472
3000.0,3460.0,3690.8362,3100.3708,3430.0925
3000.0,3480.0,3690.6943,3100.3708,3628.4202
5000.0,20.0,1500.0,1500.0,1500.0
5000.0,40.0,1500.0,1500.0,1500.0
5000.0,60.0,1500.0,1500.0,1500.0
5000.0,80.0,1500.0,1500.0,1500.0
5000.0,100.0,1500.0,1500.0,1500.0
5000.0,120.0,1500.0,1500.0,1500.0
5000.0,140.0,1500.0,1500.0,1500.0
5000.0,160.0,1500.0,1500.0,1500.0
5000.0,180.0,1500.0,1500.0,1500.0
5000.0,200.0,1500.0,1500.0,1500.0
5000.0,220.0,1500.0,1500.0,1500.0
5000.0,240.0,1500.0,1500.0,1500.0
5000.0,260.0,1500.0,1500.0,1500.0
5000.0,280.0,1500.0,1500.0,1500.0
5000.0,300.0,1500.0,1500.0,1500.0
5000.0,320.0,1500.0,1500.0,1500.0
5000.0,340.0,1500.0,1500.0,1500.0
5000.0,360.0,1500.0,1500.0,1500.0
5000.0,380.0,1500.0,1500.0,1500.0
5000.0,400.0,1500.0,1500.0,1500.0
5000.0,420.0,1500.0,1500.0,1500.0
5000.0,440.0,1500.0,1500.0,1500.0
5000.0,460.0,1837.1172,1837.1172,1837.1152
5000.0,480.0,1876.3092,1876.3092,1876.2983
5000.0,500.0,1949.7916,1949.7916,1949.7908
5000.0,520.0,2006.9462,2006.9462,2001.3282
5000.0,540.0,2192.7905,2037.9756,2043.5236
5000.0,560.0,2193.6396,2044.0992,2044.3256
5000.0,580.0,2195.2095,2135.955,2119.2876
5000.0,600.0,2197.6565,2142.0786,2158.646
5000.0,620.0,2200.9385,2148.2024,2119.131
5000.0,640.0,2205.12,1995.1095,2031.6968
5000.0,660.0,2210.4646,2001.233,1981.9426
5000.0,680.0,2216.889,2007.3568,1999.4109
5000.0,700.0,2224.344,1976.7383,1987.6263
5000.0,720.0,2232.734,1982.8619,1987.9911
5000.0,740.0,2241.909,2037.9756,2044.3755
5000.0,760.0,2251.769,2044.0992,2031.0187
5000.0,780.0,2262.3132,2050.223,2099.9102
5000.0,800.0,2273.7104,2594.622,2431.0854
5000.0,820.0,2285.9827,2603.8076,2661.03
5000.0,840.0,2299.0903,2649.7356,2691.6775
5000.0,860.0,2312.8984,2658.9211,2623.361
5000.0,880.0,2327.2512,2668.1067,2619.1108
5000.0,900.0,2341.9448,2677.2925,2684.0579
5000.0,920.0,2356.8523,2686.4778,2699.4814
5000.0,940.0,2371.91,2634.4263,2654.1316
5000.0,960.0,2387.1392,2643.6118,2627.545
5000.0,980.0,2402.508,2652.7974,2636.0195
5000.0,1000.0,2418.028,2661.9832,2647.456
5000.0,1020.0,2433.6294,2671.1685,2664.3218
5000.0,1040.0,2449.1733,2680.3542,2710.2153
5000.0,1060.0,2464.6257,2824.2617,2791.534
5000.0,1080.0,2480.0142,2833.447,2862.1353
5000.0,1100.0,2495.4097,2842.6328,2872.7234
5000.0,1120.0,2510.8987,2851.8186,2819.7341
5000.0,1140.0,2526.5159,2750.777,2756.2888
5000.0,1160.0,2542.2932,2759.9624,2734.4973
5000.0,1180.0,2558.3252,2769.1482,2740.1858
5000.0,1200.0,2574.7007,2729.344,2751.6409
5000.0,1220.0,2591.7454,2738.5295,2787.4355
5000.0,1240.0,2609.4155,2894.6843,2843.178
5000.0,1260.0,2627.6204,2903.87,2891.8806
5000.0,1280.0,2646.2776,2913.056,2926.017
5000.0,1300.0,2665.025,2922.2412,2932.6067
5000.0,1320.0,2683.8188,2931.4268,2912.6216
5000.0,1340.0,2702.7075,2940.6125,2904.6062
5000.0,1360.0,2721.856,2876.3132,2918.3364
5000.0,1380.0,2741.598,2885.499,2899.8726
5000.0,1400.0,2761.8833,2894.6843,2841.4688
5000.0,1420.0,2782.7021,2903.87,2865.9763
5000.0,1440.0,2804.065,2913.056,3043.8145
5000.0,1460.0,2825.8794,3589.9722,3143.0269
5000.0,1480.0,2848.2412,2827.691,2910.6047
5000.0,1500.0,2871.206,2843.1226,2741.9756
5000.0,1520.0,2894.7798,2858.5544,2826.8298
5000.0,1540.0,2918.8745,2898.4814,2960.3948
5000.0,1560.0,2943.4182,2913.9128,2949.576
5000.0,1580.0,2968.278,2929.345,2840.3171
5000.0,1600.0,2993.2234,2944.7764,2905.5222
5000.0,1620.0,3018.1235,3245.574,3267.4277
5000.0,1640.0,3042.8433,3245.574,3674.6213
5000.0,1660.0,3067.3347,4347.844,3979.9392
5000.0,1680.0,3091.694,4347.844,4227.6514
5000.0,1700.0,3115.9602,4347.844,4413.787
5000.0,1720.0,3140.0437,4347.844,4504.3413
5000.0,1740.0,3164.0332,4347.844,4471.1133
5000.0,1760.0,3187.836,4347.844,4280.7085
5000.0,1780.0,3211.1611,4102.895,3926.4792
5000.0,1800.0,3233.3787,3210.546,3515.7004
5000.0,1820.0,3253.4922,3225.978,3222.2747
5000.0,1840.0,3271.628,3118.813,3075.1912
5000.0,1860.0,3288.258,3134.122,3039.8276
5000.0,1880.0,3303.5308,3002.4622,3057.607
5000.0,1900.0,3317.4324,3017.7715,3156.4673
5000.0,1920.0,3330.16,3363.7617,3279.4646
5000.0,1940.0,3341.879,3379.071,3303.9663
5000.0,1960.0,3354.1038,3210.6687,3297.3672
5000.0,1980.0,3367.085,3225.978,3272.8108
5000.0,2000.0,3381.0122,3155.5552,3217.9978
5000.0,2020.0,3395.8481,3170.8645,3166.3516
5000.0,2040.0,3411.5173,3271.906,3238.213
5000.0,2060.0,3427.582,3287.2153,3412.1384
5000.0,2080.0,3443.6292,3547.4736,3583.5234
5000.0,2100.0,3459.9854,3807.732,3692.8447
5000.0,2120.0,3476.455,3823.0413,3760.4978
5000.0,2140.0,3492.9717,3593.4016,3789.3638
5000.0,2160.0,3509.1702,3833.0286,3729.705
5000.0,2180.0,3524.725,3833.0286,3486.138
5000.0,2200.0,3539.1262,3061.862,3207.3977
5000.0,2220.0,3552.266,3061.862,3039.5283
5000.0,2240.0,3564.4917,3245.574,3003.6309
5000.0,2260.0,3576.3455,2988.3774,3085.867
5000.0,2280.0,3588.462,2988.3774,3028.3494
5000.0,2300.0,3600.6543,3061.862,2937.7412
5000.0,2320.0,3612.5366,3061.862,3023.364
5000.0,2340.0,3624.278,3061.862,3303.5483
5000.0,2360.0,3635.724,3919.1836,3727.4348
5000.0,2380.0,3646.7212,3919.1836,3930.0593
5000.0,2400.0,3657.4807,3919.1836,3931.7102
5000.0,2420.0,3668.3389,3919.1836,3877.4158
5000.0,2440.0,3679.4402,3919.1836,3865.145
5000.0,2460.0,3691.101,3919.1836,3909.0125
5000.0,2480.0,3703.2107,3919.1836,3853.191
5000.0,2500.0,3715.4404,3555.9004,3641.0732
5000.0,2520.0,3727.5535,3555.9004,3523.293
5000.0,2540.0,3739.472,3555.9004,3722.214
5000.0,2560.0,3751.4106,4347.844,4136.309
5000.0,2580.0,3763.6934,4347.844,4396.322
5000.0,2600.0,3776.1467,4347.844,4331.1807
5000.0,2620.0,3788.631,4041.658,4109.6753
5000.0,2640.0,3800.682,4041.658,3948.1655
5000.0,2660.0,3811.6611,4041.658,3956.186
5000.0,2680.0,3821.1152,4041.658,4044.796
5000.0,2700.0,3829.9478,4041.658,4077.0178
5000.0,2720.0,3838.4575,4041.658,4053.682
5000.0,2740.0,3846.4968,4041.658,4099.9424
5000.0,2760.0,3853.3044,4409.0815,4266.881
5000.0,2780.0,3859.513,4409.0815,4457.3345
5000.0,2800.0,3866.2852,4409.0815,4544.492
5000.0,2820.0,3873.6282,4470.319,4487.479
5000.0,2840.0,3881.6194,4470.319,4328.228
5000.0,2860.0,3890.4104,4286.607,4206.331
5000.0,2880.0,3899.7537,4286.607,4273.507
5000.0,2900.0,3907.8909,4286.607,4479.891
5000.0,2920.0,3913.8904,4726.7666,4698.591
5000.0,2940.0,3916.476,4726.7666,4722.272
5000.0,2960.0,3915.5415,4726.7666,4481.5903
5000.0,2980.0,3911.4695,3502.2068,4061.4934
5000.0,3000.0,3904.057,3502.2068,3614.821
5000.0,3020.0,3893.1885,3502.2068,3376.9822
5000.0,3040.0,3881.1592,3502.2068,3482.8362
5000.0,3060.0,3868.055,3126.3518,3460.164
5000.0,3080.0,3854.5647,3126.3518,3170.7314
5000.0,3100.0,3840.9116,3126.3518,2967.3462
5000.0,3120.0,3826.9263,2899.4531,3065.5486
5000.0,3140.0,3812.6719,3206.0261,3133.3386
5000.0,3160.0,3798.3296,3206.0261,3070.9746
5000.0,3180.0,3784.6465,3206.0261,3313.1948
5000.0,3200.0,3771.7715,4139.6016,3800.7615
5000.0,3220.0,3759.7344,4139.6016,4103.632
5000.0,3240.0,3748.6157,4139.6016,4108.2466
5000.0,3260.0,3738.5195,4139.6016,3952.6194
5000.0,3280.0,3729.4448,3833.0286,3770.2334
5000.0,3300.0,3721.4631,3833.0286,3663.1062
5000.0,3320.0,3714.5962,3833.0286,3681.8884
5000.0,3340.0,3708.8167,3833.0286,3711.3132
5000.0,3360.0,3703.8933,3808.7798,3642.1611
5000.0,3380.0,3699.6968,3808.7798,3594.0815
5000.0,3400.0,3696.0945,3808.7798,3749.2573
5000.0,3420.0,3693.3352,4366.5,4002.6301
5000.0,3440.0,3691.587,4366.5,4144.112
5000.0,3460.0,3690.8362,3808.7798,4017.359
5000.0,3480.0,3690.6943,3808.7798,3855.8281
7000.0,20.0,1500.0,1500.0,1500.0
